hhid,cid,vid,uid,does_hh_own,does_hh_has_access,hh_head_age,hh_head_educ_years,hh_has_electricity,hh_any_od,baseline_access,baseline_ownership,treat_cat,any_treatment,hh_head_age_flag_outlier,hh_head_educ_years_flag_outlier
101615,1152,101,1,0,0,18.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101101,1151,101,1,0,0,34.0,18.0,,1,0.875,0.70833331,LPP Only,1,0,0
101400,1151,101,1,1,1,67.0,2.0,,0,0.875,0.70833331,LPP Only,1,0,0
101204,1151,101,1,0,0,25.0,9.0,,1,0.875,0.70833331,LPP Only,1,0,0
101609,1152,101,1,0,0,30.0,1.0,1.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101208,1151,101,1,1,1,50.0,1.0,,0,0.875,0.70833331,LPP Only,1,0,0
101107,1151,101,1,1,1,56.0,2.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101113,1152,101,1,0,0,27.0,8.0,1.0,1,0.66666669,0.52380955,LPP Only,1,0,0
101603,1151,101,1,0,0,29.0,8.0,1.0,1,0.86956519,0.69565219,LPP Only,1,0,0
101505,1151,101,1,1,1,48.0,12.0,1.0,0,0.9130435,0.73913044,LPP Only,1,0,0
101508,1152,101,1,1,1,36.0,2.0,,0,0.68181819,0.5,LPP Only,1,0,0
101302,1152,101,1,0,0,34.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101301,1152,101,1,0,0,27.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101601,1151,101,1,1,1,40.0,1.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101511,1152,101,1,0,0,32.0,8.0,0.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101207,1151,101,1,0,0,35.0,2.0,1.0,1,0.86956519,0.69565219,LPP Only,1,0,0
101402,1151,101,1,1,1,35.0,9.0,,0,0.875,0.70833331,LPP Only,1,0,0
101404,1151,101,1,1,1,42.0,2.0,,0,0.875,0.70833331,LPP Only,1,0,0
101210,1151,101,1,1,1,82.0,9.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101406,1151,101,1,0,0,70.0,1.0,,1,0.875,0.70833331,LPP Only,1,0,0
101408,1151,101,1,0,1,32.0,20.0,,0,0.875,0.70833331,LPP Only,1,0,0
101616,1152,101,1,0,0,32.0,1.0,1.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101201,1151,101,1,0,0,24.0,12.0,,1,0.875,0.70833331,LPP Only,1,0,0
101205,1151,101,1,0,0,65.0,2.0,,1,0.875,0.70833331,LPP Only,1,0,0
101602,1151,101,1,1,1,63.0,8.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101309,1152,101,1,1,1,34.0,12.0,1.0,0,0.66666669,0.52380955,LPP Only,1,0,0
101513,1152,101,1,0,0,35.0,2.0,1.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101514,1152,101,1,0,0,40.0,1.0,,1,0.68181819,0.5,LPP Only,1,0,0
101114,1152,101,1,0,0,38.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101102,1151,101,1,1,1,40.0,9.0,1.0,0,0.86956519,0.69565219,LPP Only,1,0,0
101211,1151,101,1,0,0,38.0,3.0,,1,0.875,0.70833331,LPP Only,1,0,0
101304,1152,101,1,0,0,26.0,9.0,1.0,1,0.66666669,0.47619048,LPP Only,1,0,0
101104,1151,101,1,0,0,55.0,1.0,0.0,1,0.86956519,0.69565219,LPP Only,1,0,0
101409,1151,101,1,0,1,45.0,13.0,1.0,0,0.86956519,0.73913044,LPP Only,1,0,0
101605,1152,101,1,1,1,55.0,1.0,1.0,0,0.66666669,0.47619048,LPP Only,1,0,0
101614,1152,101,1,0,0,29.0,2.0,1.0,1,0.66666669,0.47619048,LPP Only,1,0,0
101303,1152,101,1,0,0,29.0,2.0,,1,0.68181819,0.5,LPP Only,1,0,0
101515,1152,101,1,0,0,30.0,9.0,1.0,1,0.71428573,0.52380955,LPP Only,1,0,0
101108,1151,101,1,0,1,65.0,2.0,,0,0.875,0.70833331,LPP Only,1,0,0
