hhid,cid,vid,uid,does_hh_own,does_hh_has_access,hh_head_age,hh_head_educ_years,hh_has_electricity,hh_any_od,baseline_access,baseline_ownership,treat_cat,any_treatment
101615,1152,101,1,0,0,18,2,,1,.68181819,.5,LPP Only,1
101101,1151,101,1,0,0,34,18,,1,.875,.70833331,LPP Only,1
101400,1151,101,1,1,1,67,2,,0,.875,.70833331,LPP Only,1
101204,1151,101,1,0,0,25,9,,1,.875,.70833331,LPP Only,1
101609,1152,101,1,0,0,30,1,1,1,.71428573,.52380955,LPP Only,1
101208,1151,101,1,1,1,50,1,,0,.875,.70833331,LPP Only,1
101107,1151,101,1,1,1,56,2,1,0,.86956519,.69565219,LPP Only,1
101113,1152,101,1,0,0,27,8,1,1,.66666669,.52380955,LPP Only,1
101603,1151,101,1,0,0,29,8,1,1,.86956519,.69565219,LPP Only,1
101505,1151,101,1,1,1,48,12,1,0,.9130435,.73913044,LPP Only,1
101508,1152,101,1,1,1,36,2,,0,.68181819,.5,LPP Only,1
101302,1152,101,1,0,0,34,2,,1,.68181819,.5,LPP Only,1
101301,1152,101,1,0,0,27,2,,1,.68181819,.5,LPP Only,1
101601,1151,101,1,1,1,40,1,1,0,.86956519,.69565219,LPP Only,1
101511,1152,101,1,0,0,32,8,0,1,.71428573,.52380955,LPP Only,1
101207,1151,101,1,0,0,35,2,1,1,.86956519,.69565219,LPP Only,1
101402,1151,101,1,1,1,35,9,,0,.875,.70833331,LPP Only,1
101404,1151,101,1,1,1,42,2,,0,.875,.70833331,LPP Only,1
101210,1151,101,1,1,1,82,9,1,0,.86956519,.69565219,LPP Only,1
101406,1151,101,1,0,0,70,1,,1,.875,.70833331,LPP Only,1
101408,1151,101,1,0,1,32,20,,0,.875,.70833331,LPP Only,1
101616,1152,101,1,0,0,32,1,1,1,.71428573,.52380955,LPP Only,1
101201,1151,101,1,0,0,24,12,,1,.875,.70833331,LPP Only,1
101205,1151,101,1,0,0,65,2,,1,.875,.70833331,LPP Only,1
101602,1151,101,1,1,1,63,8,1,0,.86956519,.69565219,LPP Only,1
101309,1152,101,1,1,1,34,12,1,0,.66666669,.52380955,LPP Only,1
101513,1152,101,1,0,0,35,2,1,1,.71428573,.52380955,LPP Only,1
101514,1152,101,1,0,0,40,1,,1,.68181819,.5,LPP Only,1
101114,1152,101,1,0,0,38,2,,1,.68181819,.5,LPP Only,1
101102,1151,101,1,1,1,40,9,1,0,.86956519,.69565219,LPP Only,1
101211,1151,101,1,0,0,38,3,,1,.875,.70833331,LPP Only,1
101304,1152,101,1,0,0,26,9,1,1,.66666669,.47619048,LPP Only,1
101104,1151,101,1,0,0,55,1,0,1,.86956519,.69565219,LPP Only,1
101409,1151,101,1,0,1,45,13,1,0,.86956519,.73913044,LPP Only,1
101605,1152,101,1,1,1,55,1,1,0,.66666669,.47619048,LPP Only,1
101614,1152,101,1,0,0,29,2,1,1,.66666669,.47619048,LPP Only,1
101303,1152,101,1,0,0,29,2,,1,.68181819,.5,LPP Only,1
101515,1152,101,1,0,0,30,9,1,1,.71428573,.52380955,LPP Only,1
101108,1151,101,1,0,1,65,2,,0,.875,.70833331,LPP Only,1
101212,1151,101,1,1,1,30,3,1,0,.86956519,.69565219,LPP Only,1
101206,1151,101,1,1,1,25,2,1,0,.86956519,.69565219,LPP Only,1
101504,1151,101,1,0,0,45,15,,1,.875,.70833331,LPP Only,1
101516,1152,101,1,0,0,50,2,,1,.68181819,.5,LPP Only,1
101510,1152,101,1,0,0,35,8,,1,.68181819,.5,LPP Only,1
101517,1152,101,1,0,0,22,2,,1,.68181819,.5,LPP Only,1
101410,1151,101,1,0,0,48,7,1,1,.86956519,.73913044,LPP Only,1
101518,1152,101,1,0,1,45,2,,0,.68181819,.5,LPP Only,1
101401,1151,101,1,1,1,39,2,,0,.875,.70833331,LPP Only,1
101215,1152,101,1,1,1,35,3,1,0,.66666669,.47619048,LPP Only,1
101506,1151,101,1,1,1,42,1,,0,.875,.70833331,LPP Only,1
101403,1151,101,1,1,1,50,2,1,0,.9130435,.73913044,LPP Only,1
101312,1151,101,1,1,1,42,2,1,0,.86956519,.69565219,LPP Only,1
101310,1152,101,1,1,1,55,1,1,0,.66666669,.47619048,LPP Only,1
101308,1152,101,1,1,1,42,13,1,0,.66666669,.52380955,LPP Only,1
101300,1152,101,1,0,0,55,7,,1,.68181819,.5,LPP Only,1
101500,1152,101,1,1,1,48,9,0,0,.66666669,.47619048,LPP Only,1
101411,1151,101,1,1,1,26,10,,0,.875,.70833331,LPP Only,1
101700,1151,101,1,0,1,26,9,,0,.875,.70833331,LPP Only,1
101512,1152,101,1,0,0,32,8,0,1,.71428573,.52380955,LPP Only,1
101600,1151,101,1,1,1,55,8,,0,.875,.70833331,LPP Only,1
101200,1151,101,1,0,0,65,7,,1,.875,.70833331,LPP Only,1
101612,1152,101,1,1,1,40,9,1,0,.66666669,.47619048,LPP Only,1
101311,1152,101,1,0,1,27,9,,0,.68181819,.5,LPP Only,1
101203,1151,101,1,0,0,50,2,1,1,.86956519,.69565219,LPP Only,1
101111,1151,101,1,0,1,32,15,,0,.875,.70833331,LPP Only,1
101606,1152,101,1,0,1,26,1,1,0,.66666669,.52380955,LPP Only,1
101509,1152,101,1,0,0,60,2,0,1,.71428573,.52380955,LPP Only,1
101214,1152,101,1,1,1,30,1,,0,.68181819,.5,LPP Only,1
101604,1151,101,1,0,0,40,1,,1,.875,.70833331,LPP Only,1
101103,1151,101,1,0,0,30,12,,1,.875,.70833331,LPP Only,1
101613,1151,101,1,1,1,41,9,,0,.875,.70833331,LPP Only,1
102635,1002,102,1,0,0,25,1,1,1,.62962961,.36363637,LPP Only,1
102633,1002,102,1,0,0,28,6,,1,.64285713,.36363637,LPP Only,1
102215,1001,102,1,1,1,42,6,0,0,.80000001,.66666669,LPP Only,1
102319,1003,102,1,0,0,30,2,0,1,.70588237,.40909091,LPP Only,1
102239,1003,102,1,1,1,55,2,0,0,.70588237,.40909091,LPP Only,1
102243,1003,102,1,1,1,35,18,0,0,.70588237,.43478259,LPP Only,1
102608,1004,102,1,0,1,60,1,,0,.76923078,.63157892,LPP Only,1
102650,1002,102,1,0,1,40,2,1,0,.62962961,.33333334,LPP Only,1
